;xRxR;xRyR;(xL)xR;(xL)yR;(yL)xR;xL(xR);yL(xR);xL(yR);(xL)(xR);(xL)(yR);(yL)(xR);xLxL;xLyL
Продолжительность жизни;11;9;11;9;9;11;9;9;11;9;9;11;9
Возраст 1-го нереста;5;4;5;4;4;5;4;4;5;4;4;5;4
Выживаемость;0.52;0.45;0.6;0.5;0.5;0.6;0.5;0.5;0.6;0.5;0.5;0.6;0.5
Возраст достижения выживаемости S;5;4;5;4;4;5;4;4;5;4;4;5;4
Коэффициент после достижения S;0.06;0.03;0.06;0.03;0.03;0.06;0.03;0.03;0.06;0.03;0.03;0.06;0.03
I-го года;0.04;0.04;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Коэффициент до достижения S;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Конкурентоспособность;0.7;0.9;0.64;0.67;0.67;0.64;0.67;0.67;0.64;0.67;0.67;0.64;0.67
Возраст достижения C;5;4;5;4;4;5;4;4;5;4;4;5;4
Коэффициент после достижения С;0.2;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
I-го года;0.1;0.1;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Коэффициент до достижения С;0.25;0.328;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Вероятность размножения;0.9;0.7;0.9;0.7;0.7;0.9;0.7;0.7;0.9;0.7;0.7;0.9;0.7
Коэффициент;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Плодовитость;1200;0.9;1400;0.9;0.9;1400;0.9;0.9;1400;0.9;0.9;1400;0.9
Коэффициент;0.2;0;0.2;0;0;0.2;0;0;0.2;0;0;0.2;0
Вероят.повт. амплексусов;0;0.5;0;0.5;0.5;0;0.5;0.5;0;0.5;0.5;0;0.5
Коэффициент;0;0.4;0;0.4;0.4;0;0.4;0.4;0;0.4;0.4;0;0.4
Потребность в ресурсах;1;1;1;1;1;1;1;1;1;1;1;1;1
Потребность в ресурсах;4;4;4;4;4;4;4;4;4;4;4;4;4
Потребность в ресурсах;9;9;9;9;9;9;9;9;9;9;9;9;9
Потребность в ресурсах;16;16;16;16;16;16;16;16;16;16;16;16;16
Потребность в ресурсах;22;19;22;19;19;22;19;19;22;19;19;22;19
Потребность в ресурсах;25;20;25;20;20;25;20;20;25;20;20;25;20
Потребность в ресурсах;27;21;27;21;21;27;21;21;27;21;21;27;21
Потребность в ресурсах;28;21;28;21;21;28;21;21;28;21;21;28;21
Потребность в ресурсах;28;21;28;21;21;28;21;21;28;21;21;28;21
Потребность в ресурсах;28;21;28;21;21;28;21;21;28;21;21;28;21
